"WasdeNumber","ReportDate","ReportTitle","Attribute","ReliabilityProjection","Commodity","Region","MarketYear","ProjEstFlag","AnnualQuarterFlag","Value","Unit","ReleaseDate","ReleaseTime","ForecastYear","ForecastMonth"
"648","May 2024","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Beginning Stocks","","Sugar","Mexico","2023/24","Est.","Annual","835.00","1000 Metric Tons, Actual Weight","2024-05-10","12:00:00.0000000","2024","5"
"648","May 2024","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Domestic","","Sugar","Mexico","2023/24","Est.","Annual","4618.00","1000 Metric Tons, Actual Weight","2024-05-10","12:00:00.0000000","2024","5"
"648","May 2024","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Ending Stocks","","Sugar","Mexico","2023/24","Est.","Annual","872.00","1000 Metric Tons, Actual Weight","2024-05-10","12:00:00.0000000","2024","5"
"648","May 2024","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Exports","","Sugar","Mexico","2023/24","Est.","Annual","569.00","1000 Metric Tons, Actual Weight","2024-05-10","12:00:00.0000000","2024","5"
"648","May 2024","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Imports","","Sugar","Mexico","2023/24","Est.","Annual","575.00","1000 Metric Tons, Actual Weight","2024-05-10","12:00:00.0000000","2024","5"
"648","May 2024","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Production","","Sugar","Mexico","2023/24","Est.","Annual","4649.00","1000 Metric Tons, Actual Weight","2024-05-10","12:00:00.0000000","2024","5"
"648","May 2024","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Beginning Stocks","","Sugar","Mexico","2024/25","Proj.","Annual","872.00","1000 Metric Tons, Actual Weight","2024-05-10","12:00:00.0000000","2024","5"
"648","May 2024","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Domestic","","Sugar","Mexico","2024/25","Proj.","Annual","4661.00","1000 Metric Tons, Actual Weight","2024-05-10","12:00:00.0000000","2024","5"
"648","May 2024","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Ending Stocks","","Sugar","Mexico","2024/25","Proj.","Annual","900.00","1000 Metric Tons, Actual Weight","2024-05-10","12:00:00.0000000","2024","5"
"648","May 2024","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Exports","","Sugar","Mexico","2024/25","Proj.","Annual","1024.00","1000 Metric Tons, Actual Weight","2024-05-10","12:00:00.0000000","2024","5"
"648","May 2024","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Imports","","Sugar","Mexico","2024/25","Proj.","Annual","525.00","1000 Metric Tons, Actual Weight","2024-05-10","12:00:00.0000000","2024","5"
"648","May 2024","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Production","","Sugar","Mexico","2024/25","Proj.","Annual","5189.00","1000 Metric Tons, Actual Weight","2024-05-10","12:00:00.0000000","2024","5"
"648","May 2024","Reliability of May Projections","Domestic Use","above_final","Coarse Grain","Foreign","","","Annual","22.00","Years","2024-05-10","12:00:00.0000000","2024","5"
"648","May 2024","Reliability of May Projections","Domestic Use","average","Coarse Grain","Foreign","","","Annual","12.30","Million Metric Tons","2024-05-10","12:00:00.0000000","2024","5"
