"WasdeNumber","ReportDate","ReportTitle","Attribute","ReliabilityProjection","Commodity","Region","MarketYear","ProjEstFlag","AnnualQuarterFlag","Value","Unit","ReleaseDate","ReleaseTime","ForecastYear","ForecastMonth"
"671","May 2026","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Beginning Stocks","","Sugar","Mexico","2025/26","Est.","Annual","1123.00","1000 Metric Tons, Actual Weight","2026-05-13","12:00:00.0000000","2026","5"
"671","May 2026","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Domestic","","Sugar","Mexico","2025/26","Est.","Annual","4297.00","1000 Metric Tons, Actual Weight","2026-05-13","12:00:00.0000000","2026","5"
"671","May 2026","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Ending Stocks","","Sugar","Mexico","2025/26","Est.","Annual","1068.00","1000 Metric Tons, Actual Weight","2026-05-13","12:00:00.0000000","2026","5"
"671","May 2026","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Exports","","Sugar","Mexico","2025/26","Est.","Annual","989.00","1000 Metric Tons, Actual Weight","2026-05-13","12:00:00.0000000","2026","5"
"671","May 2026","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Imports","","Sugar","Mexico","2025/26","Est.","Annual","52.00","1000 Metric Tons, Actual Weight","2026-05-13","12:00:00.0000000","2026","5"
"671","May 2026","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Production","","Sugar","Mexico","2025/26","Est.","Annual","5179.00","1000 Metric Tons, Actual Weight","2026-05-13","12:00:00.0000000","2026","5"
"671","May 2026","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Beginning Stocks","","Sugar","Mexico","2026/27","Proj.","Annual","1068.00","1000 Metric Tons, Actual Weight","2026-05-13","12:00:00.0000000","2026","5"
"671","May 2026","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Domestic","","Sugar","Mexico","2026/27","Proj.","Annual","4226.00","1000 Metric Tons, Actual Weight","2026-05-13","12:00:00.0000000","2026","5"
"671","May 2026","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Ending Stocks","","Sugar","Mexico","2026/27","Proj.","Annual","1117.00","1000 Metric Tons, Actual Weight","2026-05-13","12:00:00.0000000","2026","5"
"671","May 2026","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Exports","","Sugar","Mexico","2026/27","Proj.","Annual","895.00","1000 Metric Tons, Actual Weight","2026-05-13","12:00:00.0000000","2026","5"
"671","May 2026","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Imports","","Sugar","Mexico","2026/27","Proj.","Annual","28.00","1000 Metric Tons, Actual Weight","2026-05-13","12:00:00.0000000","2026","5"
"671","May 2026","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Production","","Sugar","Mexico","2026/27","Proj.","Annual","5142.00","1000 Metric Tons, Actual Weight","2026-05-13","12:00:00.0000000","2026","5"
"671","May 2026","Reliability of May Projections","Domestic Use","above_final","Coarse Grain","Foreign","","","Annual","22.00","Years","2026-05-13","12:00:00.0000000","2026","5"
"671","May 2026","Reliability of May Projections","Domestic Use","average","Coarse Grain","Foreign","","","Annual","12.50","Million Metric Tons","2026-05-13","12:00:00.0000000","2026","5"
"671","May 2026","Reliability of May Projections","Domestic Use","below_final","Coarse Grain","Foreign","","","Annual","23.00","Years","2026-05-13","12:00:00.0000000","2026","5"
"671","May 2026","Reliability of May Projections","Domestic Use","confidence_interval","Coarse Grain","Foreign","","","Annual","3.40","Percent","2026-05-13","12:00:00.0000000","2026","5"
"671","May 2026","Reliability of May Projections","Domestic Use","largest","Coarse Grain","Foreign","","","Annual","32.80","Million Metric Tons","2026-05-13","12:00:00.0000000","2026","5"
"671","May 2026","Reliability of May Projections","Domestic Use","root_mean_square_error","Coarse Grain","Foreign","","","Annual","2.00","Percent","2026-05-13","12:00:00.0000000","2026","5"
"671","May 2026","Reliability of May Projections","Domestic Use","smallest","Coarse Grain","Foreign","","","Annual",".20","Million Metric Tons","2026-05-13","12:00:00.0000000","2026","5"
"671","May 2026","Reliability of May Projections","Ending Stocks","above_final","Coarse Grain","Foreign","","","Annual","15.00","Years","2026-05-13","12:00:00.0000000","2026","5"
"671","May 2026","Reliability of May Projections","Ending Stocks","average","Coarse Grain","Foreign","","","Annual","13.90","Million Metric Tons","2026-05-13","12:00:00.0000000","2026","5"
"671","May 2026","Reliability of May Projections","Ending Stocks","below_final","Coarse Grain","Foreign","","","Annual","30.00","Years","2026-05-13","12:00:00.0000000","2026","5"
"671","May 2026","Reliability of May Projections","Ending Stocks","confidence_interval","Coarse Grain","Foreign","","","Annual","29.20","Percent","2026-05-13","12:00:00.0000000","2026","5"
"671","May 2026","Reliability of May Projections","Ending Stocks","largest","Coarse Grain","Foreign","","","Annual","145.00","Million Metric Tons","2026-05-13","12:00:00.0000000","2026","5"
"671","May 2026","Reliability of May Projections","Ending Stocks","root_mean_square_error","Coarse Grain","Foreign","","","Annual","17.30","Percent","2026-05-13","12:00:00.0000000","2026","5"
"671","May 2026","Reliability of May Projections","Ending Stocks","smallest","Coarse Grain","Foreign","","","Annual",".00","Million Metric Tons","2026-05-13","12:00:00.0000000","2026","5"
"671","May 2026","Reliability of May Projections","Exports","above_final","Coarse Grain","Foreign","","","Annual","14.00","Years","2026-05-13","12:00:00.0000000","2026","5"
"671","May 2026","Reliability of May Projections","Exports","average","Coarse Grain","Foreign","","","Annual","6.40","Million Metric Tons","2026-05-13","12:00:00.0000000","2026","5"
